dataset,mode,lang,axis,metric,mean,median,std,n_queries,n_planned,n_success,n_failure,n_zero_result
hard_queries,rrf,en,abbrev_standard,facet_conjunctive_macro,0.8888888888888888,1.0,0.15713484026367724,6,6,6,0,0
hard_queries,rrf,en,abbrev_tcga,facet_present_macro,0.5666666666666667,0.6666666666666666,0.13333333333333333,5,5,5,0,0
hard_queries,rrf,en,abbrev_tcga,facet_conjunctive_macro,0.5666666666666667,0.6666666666666666,0.13333333333333333,5,5,5,0,0
hard_queries,rrf,en,abbrev_tcga,exclusion_clean_at_k,0.5,0.5,0.0,1,5,5,0,0
hard_queries,rrf,en,cardinality_and,facet_present_macro,0.8333333333333334,1.0,0.2545875386086578,6,6,6,0,0
hard_queries,rrf,en,cardinality_and,facet_conjunctive_macro,0.8333333333333334,1.0,0.2545875386086578,6,6,6,0,0
hard_queries,rrf,en,celltype_x_tissue,facet_present_macro,0.625,0.625,0.125,2,2,2,0,0
hard_queries,rrf,en,celltype_x_tissue,facet_conjunctive_macro,0.625,0.625,0.125,2,2,2,0,0
hard_queries,rrf,en,dose_response,facet_present_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,rrf,en,dose_response,facet_conjunctive_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,rrf,en,dual_disease,facet_present_macro,0.75,0.75,0.25,2,2,2,0,0
hard_queries,rrf,en,dual_disease,facet_conjunctive_macro,0.5,0.5,0.5,2,2,2,0,0
hard_queries,rrf,en,exclusion_extended,facet_present_macro,0.9444444444444445,1.0,0.12422599874998833,6,6,6,0,0
hard_queries,rrf,en,exclusion_extended,facet_conjunctive_macro,0.8888888888888888,1.0,0.15713484026367724,6,6,6,0,0
hard_queries,rrf,en,exclusion_extended,exclusion_clean_at_k,0.8666666666666667,0.8500000000000001,0.07453559924999298,6,6,6,0,0
hard_queries,rrf,en,lessons_wildcard,facet_present_macro,0.75,1.0,0.3818813079129867,6,6,6,0,0
